title,description,keywords,cluster,x,y
Procurement Manager,"Promote diversity and inclusion in the supply chain, manage supplier diversity programs, and assess supplier performance.","assess, manage, chain, inclusion, diversity",11,18.572514,2.5809035
Architectural Designer,Architectural Drafters assist architects and engineers in creating detailed technical drawings and plans for buildings and structures. They use computer-aided design (CAD) software to produce accurate and precise architectural drawings.,"accurate, assist, structures, drafters, cad",19,7.8766885,4.359147
Art Teacher,"An Art Education Coordinator plans and manages art education programs, curriculum development, and educational outreach to promote art appreciation and learning within communities.","appreciation, plans, manages, curriculum, art",16,26.679295,16.342304
Environmental Consultant,"Environmental Impact Analysts assess the environmental consequences of projects or activities. They conduct studies, analyze data, and provide recommendations to minimize adverse environmental effects and promote sustainable practices.","minimize, recommendations, conduct, adverse, sustainable",74,8.456019,17.151917
Art Teacher,"An Art Education Coordinator plans and manages art education programs, curriculum development, and educational outreach to promote art appreciation and learning within communities.","appreciation, plans, manages, curriculum, art",16,26.678955,16.342934
Event Planner,"Wedding Planners specialize in organizing weddings, assisting couples with every aspect of wedding planning, from venue selection to catering and decor.","aspect, assisting, selection, specialize, wedding",52,24.45359,12.0788355
Architect,"Architectural Designers create architectural plans and designs for buildings and structures, considering aesthetics, functionality, and safety standards.","considering, safety, standards, create, structures",98,5.92057,-9.89961
Family Lawyer,Mediators facilitate negotiations and dispute resolution between parties in conflict. They remain neutral and help parties reach mutually acceptable agreements through effective communication and problem-solving techniques.,"remain, acceptable, resolution, techniques, parties",-1,18.50593,-7.5896463
Account Manager,"Build and maintain strong client relationships, understand their needs, and ensure client satisfaction.","ensure, build, needs, relationships, client",102,0.16617382,-1.7227534
Business Development Manager,"A Market Expansion Manager strategizes and executes plans to expand the companys presence in new markets, identifying growth opportunities and optimizing market penetration.","new, presence, executes, optimizing, markets",-1,-0.15334919,20.757391
Network Engineer,"Network Administrators manage an organizations computer networks. They configure, monitor, and maintain network infrastructure, ensuring optimal performance and security.","optimal, monitor, configure, security, organizations",59,-12.478572,-5.5785975
IT Manager,"An Infrastructure Manager is responsible for the operation and maintenance of an organizations IT infrastructure, including servers, networks, and data centers.","including, data, centers, operation, responsible",120,2.8893015,-19.542763
HR Coordinator,"Training Coordinators design and implement employee training programs. They assess training needs, develop training materials, and facilitate training sessions to enhance employees skills and knowledge.","materials, enhance, assess, sessions, employee",95,17.440441,4.3219643
Human Resources Manager,"Employee Relations Specialists focus on maintaining positive relationships between employees and the organization. They address workplace issues, conduct investigations, mediate conflicts, and promote a healthy and productive work environment.","healthy, address, conduct, conflicts, employee",13,20.794914,-13.312744
Customer Support Specialist,"Help Desk Analysts provide technical support and assistance to internal employees or external customers. They troubleshoot hardware and software issues, offer solutions, and document support interactions to maintain a reliable IT environment.","maintain, help, interactions, hardware, document",-1,-5.7379913,-4.9163775
Content Writer,"Content Strategists develop and execute content strategies that align with business objectives. They plan content creation, distribution, and promotion to engage audiences and drive brand growth.","drive, align, distribution, execute, strategists",4,-10.463776,0.98803794
Network Administrator,"Protect an organizations computer networks and systems from security threats, monitor network traffic, and respond to incidents.","respond, monitor, traffic, organizations, protect",67,6.4857407,-19.978447
Chemical Analyst,"In the role of a Quality Control Analyst, you will be responsible for inspecting and testing products to ensure they meet quality standards and specifications. You will use quality control tools and processes to identify defects, document findings, and recommend improvements. Your role is essential in maintaining product quality and customer satisfaction.","defects, ensure, processes, standards, analyst",150,-5.534736,-14.452196
Psychologist,"Clinical Psychologists diagnose and treat mental health disorders. They conduct therapy sessions, assessments, and research to improve patients well-being.","improve, conduct, treat, sessions, assessments",113,19.728386,-6.1557364
Software Engineer,"A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.","runs, communication, maintaining, developer, database",126,-19.88744,-0.360038
Physician Assistant,"Provide medical care under the supervision of physicians, conduct examinations, diagnose and treat patients.","conduct, treat, diagnose, provide, examinations",113,25.81759,-8.84049
Financial Advisor,"Investment Advisors offer financial advice to clients, helping them make investment decisions, manage portfolios, and achieve their financial goals.","offer, goals, manage, advice, portfolios",147,21.266142,12.322126
Litigation Attorney,"Trial Attorneys represent clients in legal proceedings. They prepare cases, conduct trials, and provide legal counsel to clients involved in civil or criminal litigation.","civil, prepare, represent, clients, trials",-1,21.738731,-6.191469
Front-End Developer,"A Web Designer specializes in designing visually appealing and responsive websites. They create layouts, graphics, and user interfaces to enhance the online presence of businesses.","appealing, online, specializes, interfaces, responsive",123,0.6425951,28.02285
IT Support Specialist,"Help Desk Support Specialists provide technical assistance and support to end-users, resolving IT issues and ensuring smooth operations.","end, resolving, ensuring, desk, technical",117,4.830565,-23.837652
Paralegal,"Assist in litigation cases, including document preparation, legal research, and trial support.","including, preparation, assist, document, litigation",91,18.333397,-17.999178
Legal Counsel,"Corporate Attorneys provide legal counsel and representation to organizations. They handle legal matters, contracts, mergers, acquisitions, and ensure compliance with laws and regulations relevant to the business.","relevant, ensure, representation, legal, mergers",45,17.533916,-4.6881857
Art Teacher,"An Art Education Coordinator plans and manages art education programs, curriculum development, and educational outreach to promote art appreciation and learning within communities.","appreciation, plans, manages, curriculum, art",16,26.679129,16.34231
UX/UI Designer,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.","ensure, appealing, elements, digital, layouts",130,-21.897106,15.385703
Social Media Coordinator,"Create engaging and relevant content, such as articles, videos, or social media posts, to promote brands or products.","relevant, create, brands, articles, engaging",135,2.6811116,30.985426
